YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
1993,727716,2827391,331409,1729295,766687,2833433,1564558,794146,237222,204207
1994,730004,2970223,331823,1850894,787506,3103266,1697593,826442,306977,231508
1995,727480,3367437,328957,2161366,877114,3353363,1851700,888983,326956,243365
1996,735912,3365113,334858,2138717,891538,3572283,1987018,935115,322883,286699
1997,737386,3981788,376200,2498847,1106741,3963624,2095904,1075352,323955,420070
1998,739321,4140537,374153,2589819,1176565,4245033,2218693,1155492,357731,458351
1999,737639,4471546,393095,2752653,1325798,4622810,2399626,1208081,441314,515798
2000,730184,4885917,425978,3003814,1456125,5003267,2551713,1319053,395909,663903
2001,728532,4832946,466150,2879636,1487160,5086045,2656393,1374265,426481,540284
2002,726367,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949,496146
2003,727900,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662,432279
2004,730418,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522,449619
2005,729342,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605,511944
2006,743265,6364028,730112,3540436,2093480,6591429,3326656,1983482,485936,666550
2007,743273,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077,687816
2008,742919,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746,816799
2009,745668,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019,924956
2010,748889,7281058,1134111,3800128,2346819,7647571,3900492,2308399,555539,729720
2011,746933,7376725,1077070,3965614,2334041,7411768,3844055,2295909,559140,564183
2012,744621,7136949,789954,3948651,2398344,7222161,3695221,2239569,558658,580949
2013,744548,7197439,811739,3898347,2487353,7487741,3747993,2317243,576737,643522
2014,740081,7357267,794090,4031547,2531630,7587737,3824295,2390530,587642,580934
2015,734974,7360222,795238,4080167,2484817,7501799,3817479,2414860,594283,510091
2016,734652,7498567,797631,4097696,2603240,7708845,3865453,2439634,602452,610743
