ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT
5214,ALBERTVILLE CITY SCHOOL DISTRICT,2016,49795,7277,28885,13633,46778,24173,15092,4435,1212
3102,ALEXANDER CITY SCHOOL DISTRICT,2016,32454,3717,17018,11719,29642,17613,8768,2309,628
1745,ANDALUSIA CITY SCHOOL DISTRICT,2016,18650,2360,9571,6719,15978,9218,5193,1169,93
2099,ANNISTON CITY SCHOOL DISTRICT,2016,23776,4344,11810,7622,24320,12649,9344,1890,413
2540,ARAB CITY SCHOOL DISTRICT,2016,23606,1544,15096,6966,26202,14569,7328,1851,2325
3933,ATHENS CITY SCHOOL DISTRICT,2016,40524,2990,19155,18379,40785,21893,13162,3185,1494
1638,ATTALLA CITY SCHOOL DISTRICT,2016,16009,1940,10917,3152,17120,8944,4942,1409,1330
8310,AUBURN CITY SCHOOL DISTRICT,2016,134959,4440,41613,88906,131695,44694,26933,5129,49074
9609,AUTAUGA COUNTY SCHOOL DISTRICT,2016,80867,7447,53842,19578,76672,43843,23941,6401,1506
30931,BALDWIN COUNTY SCHOOL DISTRICT,2016,338236,23710,145180,169346,299880,164977,97231,19439,9749
912,BARBOUR COUNTY SCHOOL DISTRICT,2016,10116,2342,5434,2340,10070,4907,3896,975,110
3740,BESSEMER CITY SCHOOL DISTRICT,2016,41288,7480,21905,11903,42030,20359,14741,4437,1717
3322,BIBB COUNTY SCHOOL DISTRICT,2016,32486,3664,21846,6976,31662,16407,11087,3122,486
24693,BIRMINGHAM CITY SCHOOL DISTRICT,2016,273626,43262,125189,105175,272202,141114,96550,22760,8000
7870,BLOUNT COUNTY SCHOOL DISTRICT,2016,69966,6929,48563,14474,68297,37442,22662,5500,2193
2310,BOAZ CITY SCHOOL DISTRICT,2016,22813,2457,13373,6983,22413,11710,7949,2214,65
1158,BREWTON CITY SCHOOL DISTRICT,2016,11443,1045,6727,3671,26652,6668,3688,718,1363
1505,BULLOCK COUNTY SCHOOL DISTRICT,2016,14876,3061,9273,2542,14713,6996,6006,1542,31
3135,BUTLER COUNTY SCHOOL DISTRICT,2016,32062,6439,18770,6853,31393,16091,10523,2950,471
9054,CALHOUN COUNTY SCHOOL DISTRICT,2016,86559,8361,54887,23311,93475,45298,31384,7137,8288
3729,CHAMBERS COUNTY SCHOOL DISTRICT,2016,35550,5072,21545,8933,35428,18163,12613,3468,635
4042,CHEROKEE COUNTY SCHOOL DISTRICT,2016,40647,4419,24019,12209,41646,20688,13409,3818,2851
1032,CHICKASAW CITY SCHOOLS,2016,9219,1619,5489,2111,9386,5084,3210,1003,44
7743,CHILTON COUNTY SCHOOL DISTRICT,2016,66020,7864,43959,14197,66004,38489,20119,6525,263
1495,CHOCTAW COUNTY SCHOOL DISTRICT,2016,17426,2531,8525,6370,15660,6973,6588,1558,77
2717,CLARKE COUNTY SCHOOL DISTRICT,2016,28164,4509,16842,6813,28934,13563,10126,3365,1188
1978,CLAY COUNTY SCHOOL DISTRICT,2016,18425,2182,12797,3446,17663,10178,5356,1714,98
2631,CLEBURNE COUNTY SCHOOL DISTRICT,2016,25205,2707,17402,5096,25478,13510,8079,2382,691
2081,COFFEE COUNTY SCHOOL DISTRICT,2016,20354,2611,12825,4918,20509,10653,7209,1483,930
2638,COLBERT COUNTY SCHOOL DISTRICT,2016,31196,3250,15582,12364,30748,15639,10596,2764,1698
1525,CONECUH COUNTY SCHOOL DISTRICT,2016,21921,2967,9542,9412,19915,8452,7604,1591,913
1003,COOSA COUNTY SCHOOL DISTRICT,2016,10642,1554,5986,3102,10517,5008,4316,927,23
3178,COVINGTON COUNTY SCHOOL DISTRICT,2016,31073,3635,19108,8330,29870,16788,9410,2821,639
2239,CRENSHAW COUNTY SCHOOL DISTRICT,2016,21294,2690,13343,5261,21222,11890,6681,2233,185
3130,CULLMAN CITY SCHOOL DISTRICT,2016,30963,2857,15071,13035,30044,18084,8682,1686,646
9573,CULLMAN COUNTY SCHOOL DISTRICT,2016,94578,8181,58949,27448,93836,51127,30410,7248,3899
3079,DALE COUNTY SCHOOL DISTRICT,2016,29011,2786,18692,7533,27492,14974,8856,2642,591
1078,DALEVILLE CITY SCHOOL DISTRICT,2016,10999,1804,6770,2425,10652,5549,3844,775,179
3243,DALLAS COUNTY SCHOOL DISTRICT,2016,36746,7636,22598,6512,35428,17123,14283,3311,535
9015,DE KALB COUNTY SCHOOL DISTRICT,2016,84601,11216,54725,18660,83676,46696,25174,7467,4015
8693,DECATUR CITY SCHOOL DISTRICT,2016,99476,9576,45791,44109,109323,54843,26332,6660,16323
2289,DEMOPOLIS CITY SCHOOL DISTRICT,2016,19779,2120,12518,5141,19572,11510,5622,1970,354
9336,DOTHAN CITY SCHOOL DISTRICT,2016,88129,12655,50399,25075,85409,50875,26855,6786,421
615,ELBA CITY SCHOOL DISTRICT,2016,7152,993,4367,1792,7238,3824,2705,642,0
11232,ELMORE COUNTY SCHOOL DISTRICT,2016,98521,8978,61887,27656,96876,54160,29529,8497,3134
6823,ENTERPRISE CITY SCHOOL DISTRICT,2016,61888,6348,38269,17271,65966,31061,22834,4742,6640
4479,ESCAMBIA COUNTY SCHOOL DISTRICT,2016,45791,5948,27364,12479,48595,24282,16742,3754,2844
8802,ETOWAH COUNTY BOARD OF EDUCATION,2016,79322,7905,53478,17939,79601,41327,24934,7264,3918
2842,EUFAULA CITY SCHOOL DISTRICT,2016,26182,3558,15900,6724,29843,15302,7901,2274,4133
1782,FAIRFIELD CITY SCHOOL DISTRICT,2016,18479,3282,11172,4025,18371,9314,6757,1877,317
2403,FAYETTE COUNTY SCHOOL DISTRICT,2016,22528,2639,14527,5362,21990,11495,7711,2474,199
4519,FLORENCE CITY SCHOOL DISTRICT,2016,55334,5078,23387,26869,52958,28756,17920,3212,1538
3205,FORT PAYNE CITY SCHOOL DISTRICT,2016,28952,3630,17672,7650,28145,16171,7917,2752,901
3388,FRANKLIN COUNTY SCHOOL DISTRICT,2016,33368,4304,21231,7833,34380,18295,9935,4841,878
5226,GADSDEN CITY SCHOOL DISTRICT,2016,53345,9295,29199,14851,52913,28638,17624,5800,28
1275,GENEVA CITY SCHOOL DISTRICT,2016,13016,1227,8750,3039,11983,6947,3838,873,251
2742,GENEVA COUNTY SCHOOL DISTRICT,2016,26402,3640,17603,5159,25792,13601,8000,2574,1386
1173,GREENE COUNTY SCHOOL DISTRICT,2016,14695,2381,7645,4669,14897,6312,6175,1166,806
1999,GUNTERSVILLE CITY SCHOOL DISTRICT,2016,20195,1878,10821,7496,19412,10566,6435,2195,60
2687,HALE COUNTY SCHOOL DISTRICT,2016,28497,3778,17349,7370,27221,13575,8519,2268,2232
1711,HALEYVILLE CITY SCHOOL DISTRICT,2016,16709,1828,9904,4977,16158,9067,4939,1591,150
3068,HARTSELLE CITY SCHOOL DISTRICT,2016,30401,1588,17791,11022,29601,16948,9263,2245,388
2540,HENRY COUNTY SCHOOL DISTRICT,2016,24166,2573,15381,6212,24025,12264,7611,2012,1114
4069,HOMEWOOD CITY SCHOOL DISTRICT,2016,52340,2202,17538,32600,47726,27029,15587,3285,533
13910,HOOVER CITY SCHOOL DISTRICT,2016,168040,6088,69229,92723,165436,91812,49945,12558,3277
6343,HOUSTON COUNTY SCHOOL DISTRICT,2016,55122,6092,33481,15549,55759,31375,17631,4659,1497
23827,HUNTSVILLE CITY SCHOOL DISTRICT,2016,267800,27807,113117,126876,410031,139078,103055,16503,130238
5528,JACKSON COUNTY SCHOOL DISTRICT,2016,58256,6854,35239,16163,58329,27882,20456,5457,3747
1544,JACKSONVILLE CITY SCHOOL DISTRICT,2016,14925,1563,8599,4763,22806,8696,4489,1186,8033
2746,JASPER CITY SCHOOL DISTRICT,2016,27747,2406,14860,10481,29622,15932,7966,2159,3478
36092,JEFFERSON COUNTY BOARD OF EDUCATION,2016,344274,33131,199350,111793,338349,179721,112276,29991,13918
